date	Fire	Aspect	Species	Direction	frameID	height_header_note	height_header_A	height_header_B	height_header_C	height_header_D	height_header_E	height_10_note	height_10_A	height_10_B	height_10_C	height_10_D	height_10_E	height_9_note	height_9_A	height_9_B	height_9_C	height_9_D	height_9_E	height_8_note	height_8_A	height_8_B	height_8_C	height_8_D	height_8_E	height_7_note	height_7_A	height_7_B	height_7_C	height_7_D	height_7_E	height_6_note	height_6_A	height_6_B	height_6_C	height_6_D	height_6_E	height_5_note	height_5_A	height_5_B	height_5_C	height_5_D	height_5_E	height_4_note	height_4_A	height_4_B	height_4_C	height_4_D	height_4_E	height_3_note	height_3_A	height_3_B	height_3_C	height_3_D	height_3_E	height_2_note	height_2_A	height_2_B	height_2_C	height_2_D	height_2_E	height_1_note	height_1_A	height_1_B	height_1_C	height_1_D	height_1_E	basal_header_note	basal_header_A	basal_header_B	basal_header_C	basal_header_D	basal_header_E	basal_10_note	basal_10_A	basal_10_B	basal_10_C	basal_10_D	basal_10_E	basal_9_note	basal_9_A	basal_9_B	basal_9_C	basal_9_D	basal_9_E	basal_8_note	basal_8_A	basal_8_B	basal_8_C	basal_8_D	basal_8_E	basal_7_note	basal_7_A	basal_7_B	basal_7_C	basal_7_D	basal_7_E	basal_6_note	basal_6_A	basal_6_B	basal_6_C	basal_6_D	basal_6_E	basal_5_note	basal_5_A	basal_5_B	basal_5_C	basal_5_D	basal_5_E	basal_4_note	basal_4_A	basal_4_B	basal_4_C	basal_4_D	basal_4_E	basal_3_note	basal_3_A	basal_3_B	basal_3_C	basal_3_D	basal_3_E	basal_2_note	basal_2_A	basal_2_B	basal_2_C	basal_2_D	basal_2_E	basal_1_note	basal_1_A	basal_1_B	basal_1_C	basal_1_D	basal_1_E	Notes	_id	_uuid	_submission_time	_index
7/8/18	buffalo	south	control	sw	688																																																																																																																																					Nothing	12215524	91d09f42-59ad-4b37-913a-3e7ee54d6419	2018-07-08T21:06:13	301
7/23/18	buffalo	south	control	sw	688																																																																																																																																					Nothing	12922412	eac373db-ef63-4cb2-932c-81927793eaa2	2018-07-27T23:48:14	497
8/3/18	buffalo	south	control	sw	688																																																																																																																																					Nothing	13135560	ad2599e5-678a-4e28-bd21-9a4ac296c30b	2018-08-04T00:55:05	680
10/20/18	buffalo	south	control	sw	688																																																																																																																																									
7/8/18	buffalo	south	pico	nw	38																																																																																																																																					Nothing	12215511	a3efbec3-7fc4-4124-902a-9226ddd1298d	2018-07-08T21:05:58	291
7/23/18	buffalo	south	pico	nw	38																																																																																																																																					Nothing	12922414	aa647235-7794-4b46-a01e-ab2e5ea51a30	2018-07-27T23:48:17	495
8/3/18	buffalo	south	pico	nw	38																																																																																																																																					Nothing	13135565	cb407497-205d-4085-9028-525e4141ee48	2018-08-04T00:55:08	676
10/20/18	buffalo	south	pico	nw	38																																																																																																																																									
7/8/18	buffalo	south	pico	se	39																																																																																																																																					Nothing	12215517	27bebd35-0913-4ed0-84b9-e8ef2a1eff5b	2018-07-08T21:06:04	297
7/23/18	buffalo	south	pico	se	39																																																																																																																																					Nothing	12922407	c5dfbf2c-6310-4d93-8664-08aa010fb16b	2018-07-27T23:48:06	502
8/3/18	buffalo	south	pico	se	39																																																																																																																																					Nothing	13135558	b96837da-37cc-4c86-8f31-05aca28e367b	2018-08-04T00:55:03	682
10/20/18	buffalo	south	pico	se	39																																																																																																																																									
7/8/18	buffalo	south	pico	ne	60																																																																																																																																					Nothing	12215514	fb413b74-6414-42da-bb52-476d299c3dc2	2018-07-08T21:06:00	294
