(Intercept),mois_q50_surv,N,organic,temp_q50_surv,veg,R^2,adjR^2,df,logLik,AICc,delta,weight
-1.4738393368442648,0.9620806311144992,NA,NA,NA,NA,0.8580207188959854,0.8604732147754888,2,-23.44981269344968,52.232958720232695,0,0.296167655584688
-1.5043458404943875,0.7673093627182317,NA,NA,-0.30164496958769466,NA,0.8861124166182501,0.8886452074969241,3,-22.126996965111207,53.253993930222414,1.0210352099897193,0.177755336899793
-1.438259450984772,0.925405290970048,NA,0.25866335180585803,NA,NA,0.8835060544067299,0.8860313954739442,3,-22.262761673017753,53.525523346035506,1.292564625802811,0.155188946635193
-1.428640570388051,0.936152148417278,0.2434905940226539,NA,NA,NA,0.8739849378765668,0.8764830645670834,3,-22.734134500840142,54.468269001680284,2.235310281447589,0.0968603797191914
-1.5660980157999358,NA,NA,NA,-0.8773113990304419,-0.7172630111281024,0.8666689655637447,0.8691461808804953,3,-23.07273595740364,55.14547191480728,2.9125131945745864,0.0690388300523922
-1.4677990603654367,1.023836158712278,NA,NA,NA,0.1878135597207062,0.8662460072262996,0.8687220135937126,3,-23.091739285089872,55.183478570179744,2.9505198499470495,0.0677392498254516
-1.432974176599728,0.7720533986999781,NA,0.5231223702341034,NA,-0.41246793635434564,0.8926703288954456,0.8952218643714046,4,-21.771156674926498,57.25659906413871,5.023640343906017,0.0240252539737213
-1.5472033886599807,0.5451717411085024,NA,NA,-0.5058461029361192,-0.3056885964369272,0.892313191796263,0.8948637064609003,4,-21.791088398974445,57.296462512234605,5.06350379200191,0.0235511299918298
-1.4823682053980993,0.7877157463523885,0.08412974448575145,NA,-0.2565209900674001,NA,0.8871454587946724,0.8896812024361704,4,-22.07232431919886,57.858934352683434,5.625975632450739,0.0177775758919411
-1.4852314865697527,0.8051507405974163,NA,0.07704286135791916,-0.22581831795024812,NA,0.8865445796347944,0.8890786057727039,4,-22.104185783946132,57.92265728217798,5.689698561945285,0.0172200846883052
-1.4364604722445706,0.9252063524677976,0.016935910280428058,0.24802042807358438,NA,NA,0.8835336989957769,0.8860591190800118,4,-22.26133767439581,58.23696106307734,6.004002342844643,0.0147158409108244
-1.4312549005195048,0.9600917895106539,0.21229790887944183,NA,NA,0.06449898791688885,0.8746442587326855,0.8771442699717302,4,-22.70265961071662,59.119604935718954,6.886646215486259,0.00946501708979006
-1.5411860904986454,NA,NA,0.1379287079938265,-0.7974569966112335,-0.802774285258638,0.8682405449769182,0.8707222523670538,4,-23.001593556390194,59.7174728270661,7.484514106833409,0.00701933612560377
-1.548994651749252,NA,0.06942542850640393,NA,-0.852215238466045,-0.7359134451369053,0.8674546850455597,0.869934146198278,4,-23.03727337770803,59.788832469701774,7.555873749469079,0.00677330278027375
-1.3967323088217907,NA,NA,NA,-0.6268938715966705,NA,0.7172268691429502,0.7192769314578853,2,-27.583595368394104,60.50052407012154,8.267565349888848,0.00474524480548582
-1.5621652358328562,NA,NA,-0.501884677544063,-1.0311394109916923,NA,0.7884393002651023,0.7906929103383261,3,-25.84279758018422,60.68559516036844,8.452636440135748,0.00432584491732996
-1.495082235758776,0.5906611979874324,NA,0.31584243137975104,-0.30081703793462694,-0.4698898701496706,0.897514509909389,0.9000798915940871,5,-21.494053228822484,62.98810645764497,10.755147737412273,0.00136800274978357
-1.2341549817107138,NA,NA,0.8958391809644828,NA,-1.0075489635478054,0.7374433689460957,0.73955121644194,3,-27.13852663469634,63.27705326939268,11.044094549159986,0.00118397618637452
-1.5205585610779764,0.5578821799391797,0.11776996295161794,NA,-0.4584784685972917,-0.32931295367473645,0.894171089055485,0.8967269141808984,5,-21.6866683126679,63.3733366253358,11.140377905103108,0.0011283278358049
-1.4453775261756303,0.7537283418186291,-0.11962648223989832,0.6323969591822481,NA,-0.4682619229624388,0.8937360007974323,0.8962905823023403,5,-21.71128519598043,63.42257039196086,11.189611671728166,0.00110089101121228
-1.4538219142112332,NA,-0.16100756457576582,NA,-0.7098140617547002,NA,0.7263502914062429,0.7284264313612803,3,-27.38681897424078,63.77363794848156,11.540679228248862,0.000923657528547805
-1.4830008613773595,0.7857896314632974,0.08653852235532879,-0.00509607459750502,-0.26024973124935563,NA,0.8871464955242,0.8896822421290005,5,-22.07226920040904,64.14453840081808,11.911579680585383,0.000767310187882648
-1.5334969116342083,NA,0.3257076882662234,-0.743093953700779,-1.0671970463859786,NA,0.803370567451908,0.8056668558316633,4,-25.40365128370818,64.52158828170207,12.28862956146937,0.000635470834776874
-1.541523367822813,NA,-0.005396008082831418,0.1434516051718838,-0.7962168215439823,-0.8047520555088983,0.8682427169691791,0.8707244305675588,5,-23.00149464841446,66.00298929682893,13.770030576596234,0.000302979664278357
-1.2764284263148518,NA,-0.30398571681483477,1.1423422341165288,NA,-1.1069474761796771,0.7546692538148901,0.7568263383637928,4,-26.73136956540897,67.17702484510366,14.944066124870965,0.00016845150673712
-1.1684097551496897,NA,NA,0.31509730700201294,NA,NA,0.26832956513249806,0.26909653630037744,2,-33.28770697995573,71.90874729324479,19.675788573012092,1.58122774243189e-05
-1.1732738171687789,NA,NA,NA,NA,NA,0,0,1,-35.16225753191758,72.72451506383517,20.491556343602475,1.051605151058e-05
-1.1314870750005597,NA,0.3217746095558261,NA,NA,NA,0.2088110020587094,0.20940785025930167,2,-33.756947106090095,72.84722754551352,20.614268825280824,9.89022172330262e-06
-1.1415581942926414,NA,0.4600709653312876,NA,NA,-0.38026217376103394,0.401767153250703,0.40291553144969916,3,-32.07960618201563,73.15921236403126,20.926253643798567,8.4617343207696e-06
-1.1903321486632898,NA,NA,NA,NA,-0.21834986886912025,0.09938402830442161,0.09966809943992828,2,-34.53419951131856,74.40173235597045,22.168773635737757,4.54621109233326e-06
-1.1560914702054907,NA,0.1004145346802217,0.25034489021186246,NA,NA,0.27523660991192456,0.276023323608729,3,-33.23079731655842,75.46159463311685,23.22863591288415,2.67610671633622e-06
