(Intercept),mois_q50_surv,N,organic,temp_q50_surv,veg,R^2,adjR^2,df,logLik,AICc,delta,weight
-0.36228718702039714,NA,NA,NA,-0.31649557813915147,-0.8416570231364007,0.9660632660784173,0.966093736208051,3,-41.886072250123874,92.77214450024775,0,0.574257587344165
-0.3730063829661067,-0.20815462903015583,NA,NA,-0.4434568626746072,-0.9931616145056121,0.969183846812999,0.9692144153673454,4,-41.30731814451547,96.32892200331665,3.5567775030689006,0.0969978974565192
-0.2826018840432235,NA,NA,NA,NA,-0.6717809670661413,0.9360023105206892,0.9360318325124058,2,-45.69216598969911,96.71766531273155,3.9455208124838066,0.0798633978134063
-0.39211449398239145,NA,-0.0912187995952227,NA,-0.35159591581791533,-0.8500125467304646,0.9673922388311085,0.9674227508772226,4,-41.6463861009853,97.00705791625631,4.234913416008567,0.0691046032718665
-0.39119263853615455,NA,NA,-0.14021929714827966,-0.39781756971533466,-0.7691061669711425,0.9673188994738282,0.9673494092067815,4,-41.659865776303235,97.03401726689219,4.261872766644444,0.068179345752287
-0.26594945659512165,NA,NA,0.22043558143399086,NA,-0.8532023821252875,0.9474320187846471,0.9474619012752097,3,-44.51172737829907,98.02345475659814,5.2513102563503935,0.0415718362979158
-0.2966323587758144,0.16445886208116786,NA,NA,NA,-0.6045576925707669,0.9434329257436981,0.9434626821008202,3,-44.95164663888536,98.90329327777071,6.1311487775229665,0.0267759384534644
-0.26798491163700644,NA,0.05747999601123838,NA,NA,-0.6792472929906815,0.9372059113223539,0.9372354712762555,3,-45.578249743007,100.156499486014,7.384354985766251,0.014309169581102
-0.30010971966571987,NA,-0.19153080545562734,0.3932246471764338,NA,-0.971574100182844,0.95197331115923145,0.9520033368844787,4,-43.96962534818645,101.6535364106586,8.881391910410855,0.00676919449894215
-0.4119286264820618,-0.23302881309919168,NA,-0.17981777158990483,-0.5630770586922995,-0.919530525891351,0.9709708547627144,0.9710014796802058,5,-40.948886105682575,101.89777221136515,9.125627711117403,0.00599103508002238
-0.4033481907450074,-0.20847521424163737,-0.09159450432272806,NA,-0.4786713486361501,-1.002377268968309,0.9704009888386912,0.9704315957823197,5,-41.06552982912257,102.13105965824514,9.358915157997387,0.00533143522598538
-0.2778911981455385,0.08974369314337788,NA,0.17765627793072833,NA,-0.7821867813239778,0.9489639850934801,0.9489939159030437,4,-44.33427345359373,102.38283262147317,9.610688121225422,0.004700806047521
