date,species,dish,count,
10/10/17,PSME,5,2,0
10/11/17,PSME,5,2,0
10/12/17,PSME,5,2,0
10/13/17,PSME,5,2,4
10/17/17,PSME,5,6,3
10/19/17,PSME,5,9,0
10/20/17,PSME,5,9,4
10/27/17,PSME,5,13,1
10/30/17,PSME,5,14,0
11/1/17,PSME,5,14,0
11/2/17,PSME,5,14,0
11/3/17,PSME,5,14,0
11/6/17,PSME,5,14,3
11/17/17,PSME,5,17,0
11/21/17,PSME,5,17,0
12/7/17,PSME,5,17,0
12/21/17,PSME,5,17,-17
10/6/17,PICO,6,0,8
10/9/17,PICO,6,8,2
10/10/17,PICO,6,10,2
10/11/17,PICO,6,12,0
10/12/17,PICO,6,12,0
10/13/17,PICO,6,12,0
10/17/17,PICO,6,12,0
10/19/17,PICO,6,12,1
10/20/17,PICO,6,13,0
10/27/17,PICO,6,13,0
10/30/17,PICO,6,13,0
11/1/17,PICO,6,13,2
11/2/17,PICO,6,15,0
11/3/17,PICO,6,15,0
11/6/17,PICO,6,15,1
11/17/17,PICO,6,16,0
11/21/17,PICO,6,16,1
12/7/17,PICO,6,17,2
12/21/17,PICO,6,19,-19
10/6/17,PSME,6,0,0
10/9/17,PSME,6,0,2
10/10/17,PSME,6,2,0
10/11/17,PSME,6,2,1
10/12/17,PSME,6,3,2
10/13/17,PSME,6,5,1
10/17/17,PSME,6,6,1
10/19/17,PSME,6,7,0
10/20/17,PSME,6,7,3
10/27/17,PSME,6,10,0
10/30/17,PSME,6,10,0
11/1/17,PSME,6,10,0
11/2/17,PSME,6,10,0
11/3/17,PSME,6,10,1
11/6/17,PSME,6,11,1
11/17/17,PSME,6,12,0
11/21/17,PSME,6,12,0
12/7/17,PSME,6,12,0
12/21/17,PSME,6,12,-12
10/6/17,PICO,7,0,5
10/9/17,PICO,7,5,7
10/10/17,PICO,7,12,0
10/11/17,PICO,7,12,2
10/12/17,PICO,7,14,0
10/13/17,PICO,7,14,0
10/17/17,PICO,7,14,0
10/19/17,PICO,7,14,0
10/20/17,PICO,7,14,0
10/27/17,PICO,7,14,0
10/30/17,PICO,7,14,0
11/1/17,PICO,7,14,0
11/2/17,PICO,7,14,0
11/3/17,PICO,7,14,1
11/6/17,PICO,7,15,0
11/17/17,PICO,7,15,1
11/21/17,PICO,7,16,2
12/7/17,PICO,7,18,0
12/21/17,PICO,7,18,-18
10/6/17,PSME,7,0,0
10/9/17,PSME,7,0,3
10/10/17,PSME,7,3,1
10/11/17,PSME,7,4,2
10/12/17,PSME,7,6,0
10/13/17,PSME,7,6,1
10/17/17,PSME,7,7,0
10/19/17,PSME,7,7,1
10/20/17,PSME,7,8,4
10/27/17,PSME,7,12,1
10/30/17,PSME,7,13,0
11/1/17,PSME,7,13,0
11/2/17,PSME,7,13,0
11/3/17,PSME,7,13,0
11/6/17,PSME,7,13,1
11/17/17,PSME,7,14,0
11/21/17,PSME,7,14,0
12/7/17,PSME,7,14,0
12/21/17,PSME,7,14,-14
10/6/17,PICO,8,0,3
