STATION,NAME,DATE,MLY-PRCP-25PCTL,MLY-PRCP-75PCTL,MLY-PRCP-NORMAL,MLY-TAVG-NORMAL,MLY-TAVG-STDDEV
USC00248857,"West Yellowstone, MT ",6,,,58.67,11,-16.6
USC00248857,"West Yellowstone, MT ",7,,,44.96,14.8,-16.3
USC00248857,"West Yellowstone, MT ",8,,,29.46,13.9,-16.6
USC00248857,"West Yellowstone, MT ",9,,,34.8,8.9,-16.2
USC00486440,"Moran, WY",6,26.92,60.2,43.69,11.7,-16.3
USC00486440,"Moran, WY",7,14.99,46.99,31.5,15.7,-16.3
USC00486440,"Moran, WY",8,15.24,45.72,31.24,14.9,-16.6
USC00486440,"Moran, WY",9,22.1,52.83,35.81,10.1,-16.2
